Parent Cell	Interaction Type	Daughter Cell	Cell Common Name	Daughter Cell (No common names)	Parent Cell Generation	Node_size	Emb Term	Apoptoses	Emb Term Blast
MSpapa	cc	MSpapaa		MSpapaa	8	157			
MSpapa	cc	MSpapap		MSpapap	8	157			
MSpapp	cc	MSpappa		MSpappa	8	157			
MSpapp	cc	MSpappp		MSpappp	8	157			
MSppaa	cc	MSppaaa		MSppaaa	8	157			
MSppaa	cc	MSppaap		MSppaap	8	157			
MSppap	cc	MSppapa		MSppapa	8	157			
MSppap	cc	MSppapp		MSppapp	8	157			
MSpppa	cc	MSpppaa		MSpppaa	8	157			
MSpppa	cc	MSpppap		MSpppap	8	157			
MSpppp	cc	MSppppa		MSppppa	8	157			
MSpppp	cc	MSppppp		MSppppp	8	157			
ABalaaaal	cc	ABalaaaala		ABalaaaala	9	125			
ABalaaaal	cc	ABalaaaalp		ABalaaaalp	9	125			
ABalaaaar	cc	ABalaaaarl		ABalaaaarl	9	125			
ABalaaaar	cc	ABalaaaarr		ABalaaaarr	9	125			
ABalaaapa	cc	ABalaaapal		ABalaaapal	9	125			
ABalaaapa	cc	ABalaaapar		ABalaaapar	9	125			
ABalaaapp	cc	ABalaaappl		ABalaaappl	9	125			
ABalaaapp	cc	ABalaaappr		ABalaaappr	9	125			
ABalaapaa	cc	ABalaapaaa		ABalaapaaa	9	125			
ABalaapaa	cc	ABalaapaap		ABalaapaap	9	125			
ABalaapap	cc	ABalaapapa		ABalaapapa	9	125	T	A	
ABalaapap	cc	ABalaapapp		ABalaapapp	9	125			
ABalaappa	cc	ABalaappaa		ABalaappaa	9	125	T	A	
ABalaappa	cc	ABalaappap		ABalaappap	9	125			
ABalaappp	cc	ABalaapppa		ABalaapppa	9	125			
ABalaappp	cc	ABalaapppp		ABalaapppp	9	125			
ABalapaaa	cc	ABalapaaaa		ABalapaaaa	9	125			
ABalapaaa	cc	ABalapaaap		ABalapaaap	9	125			
ABalapaap	cc	ABalapaapa		ABalapaapa	9	125			
ABalapaap	cc	ABalapaapp		ABalapaapp	9	125			
ABalapapa	cc	ABalapapaa		ABalapapaa	9	125	T	A	
ABalapapa	cc	ABalapapap		ABalapapap	9	125			
ABalapapp	cc	ABalapappa		ABalapappa	9	125			
ABalapapp	cc	ABalapappp		ABalapappp	9	125			
ABalappaa	cc	ABalappaaa		ABalappaaa	9	125	T	A	
ABalappaa	cc	ABalappaap		ABalappaap	9	125			
ABalappap	cc	ABalappapa		ABalappapa	9	125			
ABalappap	cc	ABalappapp		ABalappapp	9	125			
ABalapppa	cc	ABalapppaa		ABalapppaa	9	125			
ABalapppa	cc	ABalapppap		ABalapppap	9	125			
ABalapppp	cc	ABalappppa		ABalappppa	9	125			
ABalapppp	cc	ABalappppp		ABalappppp	9	125			
